,gamma-disparity,racePctWhite,racepctblack
203,0.000169851688304,-0.7,0.0
204,0.000169851688304,-0.6,0.0
205,0.000169851688304,-0.5,0.0
206,0.000169851688304,-0.4,0.0
207,0.000169851688304,-0.3,0.0
208,0.000169851688304,-0.2,0.0
209,0.000169851688304,-0.1,0.0
210,0.0,0.0,0.0
211,-0.000169851688304,0.1,0.0
212,-0.000169851688304,0.2,0.0
213,-0.000169851688304,0.3,0.0
214,-0.000169851688304,0.4,0.0
215,-0.000169851688304,0.5,0.0
216,-0.000169851688304,0.6,0.0
217,-0.000169851688304,0.7,0.0
218,-0.000169851688304,0.8,0.0
219,-0.000169851688304,0.9,0.0
220,0.000725038750198,-1.0,0.1
221,0.000720904012534,-0.9,0.1
222,0.000691904514038,-0.8,0.1
223,0.000624336643879,-0.7,0.1
224,0.000483672651548,-0.6,0.1
225,0.00061373249799,-0.5,0.1
226,0.000597194551408,-0.4,0.1
227,0.00068957887127,-0.3,0.1
228,0.000368097595408,-0.2,0.1
229,-7.50727465884e-05,-0.1,0.1
230,-0.00177352041952,0.0,0.1
231,0.00505245156981,0.1,0.1
232,0.000644301606094,0.2,0.1
233,0.000969173555393,0.3,0.1
234,0.00110738636,0.4,0.1
235,0.00144686195369,0.5,0.1
236,0.00147850421392,0.6,0.1
237,0.00069490341151,0.7,0.1
238,0.000368409596259,0.8,0.1
239,0.000371140121285,0.9,0.1
240,0.00061373249799,-1.0,0.2
241,0.000596257740265,-0.9,0.2
242,0.000597194551408,-0.8,0.2
243,0.000498972217858,-0.7,0.2
244,0.00068957887127,-0.6,0.2
245,0.000512073188026,-0.5,0.2
246,0.000368097595408,-0.4,0.2
247,0.000250208261212,-0.3,0.2
248,-7.50727465884e-05,-0.2,0.2
249,-0.000249121389683,-0.1,0.2
250,-0.00177352041952,0.0,0.2
251,-0.00206065031558,0.1,0.2
252,0.00505245156981,0.2,0.2
253,0.00371467723511,0.3,0.2
254,0.000644301606094,0.4,0.2
255,0.00120621768744,0.5,0.2
256,0.000969173555393,0.6,0.2
257,0.000772151154029,0.7,0.2
258,0.00110738636,0.8,0.2
259,0.0011324186237,0.9,0.2
260,0.000687685691731,-1.0,0.3
261,0.00068957887127,-0.9,0.3
262,0.000342519861143,-0.8,0.3
263,0.000588998631259,-0.7,0.3
264,0.000368097595408,-0.6,0.3
265,0.000566474058959,-0.5,0.3
266,-1.75431592438e-05,-0.4,0.3
267,-7.50727465884e-05,-0.3,0.3
268,0.00017617850895,-0.2,0.3
269,-0.000652113365255,-0.1,0.3
270,-0.00177352041952,0.0,0.3
271,-0.00210579959226,0.1,0.3
272,-0.00217720733071,0.2,0.3
273,0.00505245156981,0.3,0.3
274,0.00471062307226,0.4,0.3
275,0.00196206389367,0.5,0.3
276,0.000644301606094,0.6,0.3
277,0.000272360783627,0.7,0.3
278,0.00130424393307,0.8,0.3
279,0.000969173555393,0.9,0.3
280,0.000512073188026,-1.0,0.4
281,0.000436393482361,-0.9,0.4
282,0.000368097595408,-0.8,0.4
283,0.000815711939148,-0.7,0.4
284,0.000250208261212,-0.6,0.4
285,8.96462420571e-05,-0.5,0.4
286,-7.50727465884e-05,-0.4,0.4
287,-0.000248785717535,-0.3,0.4
288,-0.000249121389683,-0.2,0.4
289,-0.00100059898867,-0.1,0.4
290,-0.00177352041952,0.0,0.4
291,-0.00145820313527,0.1,0.4
292,-0.00206065031558,0.2,0.4
293,0.00133845963831,0.3,0.4
294,0.00505245156981,0.4,0.4
295,0.00365758378964,0.5,0.4
296,0.00371467723511,0.6,0.4
297,0.00224158194818,0.7,0.4
298,0.000644301606094,0.8,0.4
299,-7.8858039391e-05,0.9,0.4
300,0.000368097595408,-1.0,0.5
301,0.000939348013921,-0.9,0.5
302,0.000395777134735,-0.8,0.5
303,-1.75431592438e-05,-0.7,0.5
304,0.000213243868743,-0.6,0.5
305,-7.50727465884e-05,-0.5,0.5
306,-0.000398419452191,-0.4,0.5
307,0.00040237944521,-0.3,0.5
308,-0.000689614200504,-0.2,0.5
309,-0.00118625412026,-0.1,0.5
310,-0.00177352041952,0.0,0.5
311,-0.00149914913948,0.1,0.5
312,-0.00231360617999,0.2,0.5
313,-0.00201000872924,0.3,0.5
314,0.00402643487692,0.4,0.5
315,0.00505245156981,0.5,0.5
316,0.0043898216709,0.6,0.5
317,0.00433353280074,0.7,0.5
318,0.00181954617396,0.8,0.5
319,0.0021759726202,0.9,0.5
320,0.000566474058959,-1.0,0.6
321,0.000250208261212,-0.9,0.6
322,-1.75431592438e-05,-0.8,0.6
323,-0.000109291570672,-0.7,0.6
324,-7.50727465884e-05,-0.6,0.6
325,-0.000398419452191,-0.5,0.6
326,0.00017617850895,-0.4,0.6
327,-0.000249121389683,-0.3,0.6
328,-0.000652113365255,-0.2,0.6
329,-0.00109419310376,-0.1,0.6
330,-0.00177352041952,0.0,0.6
